Financial Benchmarks India Private Ltd,
,
SDL/SGS Tenor AVG YTM,Thu Jun 18 2026 05:30:00 GMT+0530 (India Standard Time)
MATURITY BUCKET,PUBLISHED YTM
1,5.3568
2,6.1023
2027,6.3141
2028,6.7752
2029,6.7988
2030,7.0176
2031,7.0717
2032,7.1839
2033,7.4239
2034,7.4624
2035,7.5464
2036,7.5542
2037,7.6383
2038,7.6456
2039,7.6474
2040,7.6836
2041,7.726
2042,7.7412
2043,7.76
2044,7.7598
2045,7.721
2046,7.7549
2047,7.7246
2048,7.7356
2049,7.7467
2050,7.751
2051,7.7552
2052,7.7925
2053,7.7534
2054,7.7142
2055,7.739
2056,7.7458
2057,7.7458
2058,7.7458
2059,7.7458
2060,7.7458
2061,7.7458
2062,7.7458
2063,7.7458
2064,7.7458
