Index,FY,Date of Auction,Date of Issue,Date of Maturity,Notified Amount (Rupees Crore),Residual Maturity Period,Maturity Year,Number of Competitive Bid Received,"Value of Competitive Bid Received
(Rupees Crore)",Number of Non-Competitive Bid Received,"Value of Non-Competitive Bid Received
(Rupees Crore)",Number of Competitive Bid Accepted,"Value of Competitive Bid Accepted
(Rupees Crore)",Number of Non-Competitive Bid Accepted,"Value of Non-Competitive Bid Accepted
(Rupees Crore)","Devolvement on Primary Dealers
(Rupees Crore)","Devolvement/Private placement on RBI
(Rupees Crore)",Cut off Issue/ Price,Cut Off Yield,Nomenclature Loan,ISIN No.,Weighted Avg. Price,Weighted Avg. Yield,State,Amount,Tenor group,Bid cover,WAY,Notified - availed,Yield / Price,Outstanding,Maturity FY
1,2026-27,05-May-26,06-May-26,08-Apr-31,800,4.922,47946,53,"3,720",7,14.431,3,785.569,7,14.431,-,-,99.99,7.3503,7.35% MAHARASHTRA SGS 2031,IN2220260011,100.01,7.3454,Maharashtra,800,T1-5,4.735421077,,0,Price,TRUE,2031-32
2,2026-27,05-May-26,06-May-26,06-May-31,600,5,47974,51,"2,705",6,9.858,15,590,6,9.858,-,-,100,7.43,7.43% RAJASTHAN SGS 2031,IN2920260055,100.03,7.4225,Rajasthan,600.00,T1-5,4.583642581,,0,Yield,TRUE,2031-32
3,2026-27,05-May-26,06-May-26,06-May-32,"1,000",6,48340,56,"3,475",10,39.689,17,960,10,39.689,-,-,100,7.5,7.5% TAMILNADU SGS 2032,IN3120260010,100.05,7.49,Tamil Nadu,"1,000.00",T6-10,3.618619385,,0,Yield,TRUE,2032-33
4,2026-27,05-May-26,06-May-26,06-May-36,1000,10,49801,92,"5,374",12,110.96,26,900,12,100,-,-,100,7.73,7.73% TAMILNADU SGS 2036,IN3120260028,100.05,7.7223,Tamil Nadu,1000,T6-10,5.971111111,,0,Yield,TRUE,2036-37
5,2026-27,05-May-26,06-May-26,08-Apr-38,2200,11.922,50503,112,"5,067",21,205.165,30,1994.835,21,205.165,-,-,100.82,7.8515,7.96% ANDHRA SGS 2038,IN1020260015,101.04,7.823,Andhra Pradesh,2200,T11-15,2.539809057,,0,Price,TRUE,2038-39
6,2026-27,05-May-26,06-May-26,08-Apr-39,"1,600",12.922,50868,142,"6,170",18,104.491,32,"1,496",18,104.491,-,-,100.72,7.8192,7.91% MAHARASHTRA SGS 2039,IN2220260029,100.91,7.7958,Maharashtra,"1,600.00",T11-15,4.125685636,,0,Price,TRUE,2039-40
7,2026-27,05-May-26,06-May-26,06-May-41,"1,000",15,51627,115,"5,676",18,171.112,14,900,18,100,-,-,100,7.8,7.8% TAMILNADU SGS 2041,IN3120260036,100.08,7.7908,Tamil Nadu,"1,000.00",T11-15,6.306555556,,0,Yield,TRUE,2041-42
8,2026-27,05-May-26,06-May-26,08-Apr-43,"1,200",16.922,52329,109,"4,445",10,78.017,16,"1,122",10,78.017,-,-,101.01,7.86,7.97% RAJASTHAN SGS 2043,IN2920260014,101.09,7.8514,Rajasthan,"1,200.00",T16-20,3.961735606,,0,Price,TRUE,2043-44
9,2026-27,05-May-26,06-May-26,08-Apr-43,"2,000",16.922,52329,118,"5,423",13,140.032,16,1859.968,13,140.032,-,-,100.97,7.8643,7.97% TELANGANA SGS 2043,IN4520260014,101.04,7.8568,Telangana,"2,000.00",T16-20,2.915641559,,0,Price,TRUE,2043-44
10,2026-27,05-May-26,06-May-26,08-Apr-49,1200,22.922,54521,77,"3,490",6,74.262,23,1125.738,6,74.262,-,-,102.1,7.8698,8.07% MAHARASHTRA SGS 2049,IN2220260037,102.2,7.8605,Maharashtra,1200,T20+,3.100188499,,0,Price,TRUE,2049-50
11,2026-27,05-May-26,06-May-26,08-Apr-51,"2,200",24.922,55251,47,"6,855",7,74.636,8,2125.364,7,74.636,-,-,102.05,7.88,8.07% ANDHRA SGS 2051,IN1020260023,102.14,7.8718,Andhra Pradesh,"2,200.00",T20+,3.225329873,,0,Price,TRUE,2051-52
12,2026-27,05-May-26,06-May-26,08-Apr-56,2000,29.922,57078,44,"5,925",6,55.59,11,1944.41,6,55.59,-,-,102.16,7.8802,8.07% TELANGANA SGS 2056,IN4520260022,102.28,7.8699,Telangana,2000,T20+,3.04708472,,0,Price,TRUE,2056-57
13,2026-27,05-May-26,06-May-26,08-Apr-57,"1,800",30.922,57443,37,"5,810",5,43.926,7,1756.074,5,43.926,-,-,102.07,7.8796,8.06% RAJASTHAN SGS 2057,IN2920260022,102.17,7.871,Rajasthan,"1,800.00",T20+,3.308516611,,0,Price,TRUE,2057-58
14,2026-27,28-Apr-26,29-Apr-26,29-Apr-29,500,3,47237,67,"4,580",2,1.348,3,498.652,2,1.348,-,-,100,7.08,7.08% UTTARAKHAND SGS 2029,IN3620260015,100.05,7.0599,Uttarakhand,500,T1-5,9.184762119,,0,Yield,TRUE,2029-30
15,2026-27,28-Apr-26,29-Apr-26,29-Apr-34,1600,8,49063,102,"6,765",11,51.181,28,1548.819,11,51.181,-,-,100,7.64,7.64% MADHYAPRADESH SGS 2034,IN2120260038,100.08,7.6261,Madhya Pradesh,1600,T6-10,4.367844144,,0,Yield,TRUE,2034-35
16,2026-27,28-Apr-26,29-Apr-26,29-Apr-35,"1,200",9,49428,58,"3,386",7,26.699,21,"1,173",7,26.699,-,-,100,7.69,7.69% BIHAR SGS 2035,IN1320260020,100.12,7.6709,Bihar,"1,200.00",T6-10,2.886181807,,0,Yield,TRUE,2035-36
17,2026-27,28-Apr-26,29-Apr-26,29-Apr-36,500,10,49794,38,"3,045",10,34.592,3,465.408,10,34.592,-,-,100,7.68,7.68% CHHATTISGARH SGS 2036,IN3520260032,100.01,7.6784,Chhattisgarh,500.00,T6-10,6.542646452,,0,Yield,TRUE,2036-37
18,2026-27,28-Apr-26,29-Apr-26,29-Apr-36,500,10,49794,40,"1,582",10,46.127,4,300,10,46.127,-,-,100,7.69,7.69% UTTARAKHAND SGS 2036,IN3620260023,100.1,7.6757,Uttarakhand,346.13,T6-10,5.273333333,,153.873,Yield,TRUE,2036-37
19,2026-27,28-Apr-26,29-Apr-26,29-Apr-36,2000,10,49794,84,"5,890",19,163.311,46,1836.689,19,163.311,-,-,100,7.72,7.72% UTTARPRADESH SGS 2036,IN3320260026,100.18,7.6933,Uttar Pradesh,2000,T6-10,3.206857557,,0,Yield,TRUE,2036-37
20,2026-27,28-Apr-26,29-Apr-26,18-Feb-41,"2,500",14.803,51550,155,"10,322",27,530.312,23,"2,250",27,250,-,-,98.77,7.8096,7.67% UTTARPRADESH SGS 2041,IN3320250217,98.83,7.8026,Uttar Pradesh,"2,500.00",T11-15,4.587555556,,0,Price,TRUE,2040-41
21,2026-27,28-Apr-26,29-Apr-26,25-Feb-41,"1,200",14.822,51557,106,"4,622",11,142.219,15,"1,080",11,120,-,-,99.16,7.8147,7.72% BIHAR SGS 2041,IN1320250294,99.2,7.8101,Bihar,"1,200.00",T11-15,4.27962963,,0,Price,TRUE,2040-41
22,2026-27,28-Apr-26,29-Apr-26,29-Apr-46,"1,000",20,53446,81,"4,763",9,80.467,4,919.533,9,80.467,-,-,100,7.83,7.83% ASSAM SGS 2046,IN1220260013,100.03,7.8267,Assam,"1,000.00",T16-20,5.179803226,,0,Yield,TRUE,2046-47
23,2026-27,28-Apr-26,29-Apr-26,29-Apr-48,500,22,54177,32,"2,385",4,15.255,3,484.745,4,15.255,-,-,100,7.82,7.82% CHHATTISGARH SGS 2048,IN3520260040,100,7.8199,Chhattisgarh,500.00,T20+,4.920112637,,0,Yield,TRUE,2048-49
24,2026-27,28-Apr-26,29-Apr-26,29-Apr-48,1200,22,54177,55,"5,295",7,87.51,6,1112.49,7,87.51,-,-,100,7.83,7.83% MADHYAPRADESH SGS 2048,IN2120260046,100.06,7.8241,Madhya Pradesh,1200,T20+,4.759593345,,0,Yield,TRUE,2048-49
25,2026-27,28-Apr-26,29-Apr-26,29-Apr-49,1800,23,54542,49,"5,875",7,63.63,6,1736.37,7,63.63,-,-,100,7.83,7.83% KERALA SGS 2049,IN2020260047,100.04,7.8265,Kerala,1800,T20+,3.383495453,,0,Yield,TRUE,2049-50
26,2026-27,21-Apr-26,22-Apr-26,22-Apr-33,1000,7,48691,61,"3,860",8,14.813,18,985.187,8,14.813,-,-,100,7.54,7.54% TELANGANA SGS 2033,IN4520260030,100.08,7.5249,Telangana,1000,T6-10,3.918037895,,0,Yield,TRUE,2033-34
27,2026-27,21-Apr-26,22-Apr-26,22-Apr-34,1600,8,49056,123,"6,375",12,67.237,52,1532.763,12,67.237,-,-,100,7.55,7.55% MAHARASHTRA SGS 2034,IN2220260045,100.12,7.5293,Maharashtra,1600,T6-10,4.159155721,,0,Yield,TRUE,2034-35
28,2026-27,21-Apr-26,22-Apr-26,22-Apr-34,1800,8,49056,64,"3,880",8,51.947,31,1748.053,8,51.947,-,-,100,7.63,7.63% ANDHRA SGS 2034,IN1020260031,100.16,7.6023,Andhra Pradesh,1800,T6-10,2.219612334,,0,Yield,TRUE,2034-35
29,2026-27,21-Apr-26,22-Apr-26,22-Apr-36,"1,200",10,49787,73,"5,240",14,105.319,16,1094.681,14,105.319,-,-,100,7.64,7.64% RAJASTHAN SGS 2036,IN2920260030,100.1,7.6259,Rajasthan,"1,200.00",T6-10,4.786782633,,0,Yield,TRUE,2036-37
30,2026-27,21-Apr-26,22-Apr-26,22-Apr-37,"1,000",11,50152,85,"6,493",16,160.902,9,900,16,100,-,-,100,7.7,7.7% TELANGANA SGS 2037,IN4520260048,100.07,7.69,Telangana,"1,000.00",T11-15,7.2145,,0,Yield,TRUE,2037-38
31,2026-27,21-Apr-26,22-Apr-26,22-Apr-38,1300,12,50517,153,"6,520",24,338.67,26,1170,24,130,-,-,100,7.84,7.84% PUNJAB SGS 2038,IN2820260023,100.12,7.8245,Punjab,1300,T11-15,5.572948718,,0,Yield,TRUE,2038-39
32,2026-27,21-Apr-26,22-Apr-26,30-Mar-41,"1,800",14.939,51590,104,"5,703",23,331.803,21,"1,620",23,180,-,-,101.47,7.8205,7.99% RAJASTHAN SGS 2041,IN2920250452,101.51,7.816,Rajasthan,"1,800.00",T11-15,3.52037037,,0,Price,TRUE,2040-41
33,2026-27,21-Apr-26,22-Apr-26,22-Apr-42,"1,800",16,51978,102,"5,511",25,329.997,4,"1,620",25,180,-,-,100,7.79,7.79% ANDHRA SGS 2042,IN1020260049,100.04,7.7851,Andhra Pradesh,"1,800.00",T16-20,3.401851852,,0,Yield,TRUE,2042-43
34,2026-27,21-Apr-26,22-Apr-26,22-Apr-44,"1,600",18,52709,174,"9,305",31,366.255,9,"1,440",31,160,-,-,100,7.77,7.77% MAHARASHTRA SGS 2044,IN2220260052,100,7.7697,Maharashtra,"1,600.00",T16-20,6.461805556,,0,Yield,TRUE,2044-45
35,2026-27,21-Apr-26,22-Apr-26,22-Apr-47,"1,000",21,53804,91,"4,093",20,192.042,19,900,20,100,-,-,100,7.82,7.82% TELANGANA SGS 2047,IN4520260055,100.05,7.8147,Telangana,"1,000.00",T20+,4.547777778,,0,Yield,TRUE,2047-48
36,2026-27,21-Apr-26,22-Apr-26,22-Apr-49,1000,23,54535,52,"4,445",8,60.261,4,939.739,8,60.261,-,-,100,7.81,7.81% RAJASTHAN SGS 2049,IN2920260048,100,7.81,Rajasthan,1000,T20+,4.730036744,,0,Yield,TRUE,2049-50
37,2026-27,21-Apr-26,22-Apr-26,22-Apr-54,800,28,56361,58,"4,295",7,65.044,2,734.956,7,65.044,-,-,100,7.79,7.79% MAHARASHTRA SGS 2054,IN2220260060,100,7.7897,Maharashtra,800,T20+,5.843887253,,0,Yield,TRUE,2054-55
38,2026-27,21-Apr-26,22-Apr-26,22-Apr-56,1000,30,57092,42,"4,260",6,32.439,4,967.561,6,32.439,-,-,100,7.81,7.81% ANDHRA SGS 2056,IN1020260056,100.08,7.8028,Andhra Pradesh,1000,T20+,4.402823181,,0,Yield,TRUE,2056-57
39,2026-27,13-Apr-26,15-Apr-26,15-Apr-31,500,5,47953,56,"2,661",3,5.585,17,494.415,3,5.585,-,-,100,7.37,7.37% CHHATTISGARH SGS 2031,IN3520260016,100.08,7.3513,Chhattisgarh,500,T1-5,5.381268772,,0,Yield,TRUE,2031-32
40,2026-27,13-Apr-26,15-Apr-26,15-Apr-33,400,7,48684,27,"2,860",4,8.147,5,391.853,4,8.147,-,-,100,7.6,7.6% KERALA SGS 2033,IN2020260013,100.02,7.5955,Kerala,400,T6-10,7.298655363,,0,Yield,TRUE,2033-34
41,2026-27,13-Apr-26,15-Apr-26,15-Apr-33,"1,500",7,48684,74,"5,310",8,39.401,32,"1,461",8,39.401,-,-,100,7.6,7.6% UTTARPRADESH SGS 2033,IN3320260018,100.12,7.5778,Uttar Pradesh,"1,500.00",T6-10,3.635494752,,0,Yield,TRUE,2033-34
42,2026-27,13-Apr-26,15-Apr-26,15-Apr-37,1000,11,50145,88,"5,480",11,95.806,13,904.194,11,95.806,-,-,100,7.81,7.81% KERALA SGS 2037,IN2020260021,100.06,7.8017,Kerala,1000,T11-15,6.060646277,,0,Yield,TRUE,2037-38
43,2026-27,13-Apr-26,15-Apr-26,17-Dec-37,"2,000",11.672,50391,99,"8,255",13,143.872,27,1856.128,13,143.872,-,-,97.33,7.8107,7.46% UTTARPRADESH SGS 2037,IN3320250159,97.44,7.7959,Uttar Pradesh,"2,000.00",T11-15,4.44743035,,0,Price,TRUE,2037-38
44,2026-27,13-Apr-26,15-Apr-26,15-Apr-40,500,14,51241,70,"2,990",8,42.272,3,458,8,42.272,-,-,100,7.83,7.83% CHHATTISGARH SGS 2040,IN3520260024,100,7.8298,Chhattisgarh,500.00,T11-15,6.532263702,,0,Yield,TRUE,2040-41
45,2026-27,13-Apr-26,15-Apr-26,15-Apr-42,"1,400",16,51971,70,"3,611",19,197.901,8,"1,260",19,140,-,-,100,7.86,7.86% KERALA SGS 2042,IN2020260039,100.08,7.8514,Kerala,"1,400.00",T16-20,2.865952381,,0,Yield,TRUE,2042-43
