"Date","Price","Open","High","Low","Change %"
"19-06-2026","6.858","6.845","6.860","6.845","0.22%"
"18-06-2026","6.843","6.872","6.874","6.832","-0.32%"
"17-06-2026","6.865","6.866","6.866","6.855","-0.01%"
"16-06-2026","6.866","6.872","6.872","6.860","-0.09%"
"15-06-2026","6.872","6.866","6.873","6.831","0.09%"
"12-06-2026","6.866","6.897","6.897","6.857","-0.45%"
"11-06-2026","6.897","6.913","6.919","6.894","-0.23%"
"10-06-2026","6.913","6.871","6.916","6.871","0.61%"
"09-06-2026","6.871","6.949","6.949","6.871","-1.12%"
"08-06-2026","6.949","6.975","6.984","6.945","-0.37%"
"05-06-2026","6.975","6.995","7.018","6.924","-0.29%"
"04-06-2026","6.995","7.025","7.025","6.987","-0.44%"
"03-06-2026","7.026","7.017","7.070","7.009","0.13%"
"02-06-2026","7.017","7.022","7.047","6.999","-0.07%"
"01-06-2026","7.022","7.003","7.052","7.003","0.27%"
"29-05-2026","7.003","6.996","7.017","6.975","0.10%"
"28-05-2026","6.996","6.996","6.996","6.996","0.00%"
"27-05-2026","6.996","6.995","7.004","6.973","0.00%"
"26-05-2026","6.996","7.025","7.043","6.996","-0.41%"
"25-05-2026","7.025","7.087","7.087","7.015","-0.89%"
"22-05-2026","7.088","7.117","7.117","7.073","-0.42%"
"21-05-2026","7.118","7.078","7.131","7.048","0.55%"
"20-05-2026","7.079","7.111","7.137","7.068","-0.45%"
"19-05-2026","7.111","7.121","7.123","7.098","-0.14%"
