Financial Benchmarks India Private Ltd,
,
SDL/SGS Tenor AVG YTM,Tue Apr 28 2026 05:30:00 GMT+0530 (India Standard Time)
MATURITY BUCKET,PUBLISHED YTM
1,5.5808
2,5.8405
2027,6.4694
2028,6.4694
2029,7.0572
2030,7.1835
2031,7.2779
2032,7.4202
2033,7.529
2034,7.6272
2035,7.657
2036,7.6842
2037,7.7344
2038,7.7446
2039,7.7223
2040,7.7022
2041,7.7918
2042,7.839
2043,7.7501
2044,7.8047
2045,7.8105
2046,7.8223
2047,7.8328
2048,7.8217
2049,7.825
2050,7.8237
2051,7.8486
2052,7.8735
2053,7.8398
2054,7.8061
2055,7.825
2056,7.8439
2057,7.8439
2058,7.8439
2059,7.8439
2060,7.8439
2061,7.8439
2062,7.8439
2063,7.8439
2064,7.8439
